business_failure_code_bq;region_name;period_scope;sector_name;business_failure_code;business_failure_description
DIREN_M_FR_DE_UL_DF_03_N_ZZ_TP;France;12 mois;Tous secteurs;DIREN.M.FR.DE.UL.DF.03.N.ZZ.TP;France - Nb de défaillances des TPE cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_FR_DE_UL_DF_03_N_ZZ_TT;France;12 mois;Tous secteurs;DIREN.M.FR.DE.UL.DF.03.N.ZZ.TT;France - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_FR_DE_UL_DF_21_N_AZ_TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises;;Brut;DIREN.M.FR.DE.UL.DF.21.N.AZ.TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises - Agriculture, sylviculture et pêche - Brut
DIREN_M_FR_DE_UL_DF_21_N_BE_TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises;;Brut;DIREN.M.FR.DE.UL.DF.21.N.BE.TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises - Industrie - Brut
DIREN_M_FR_DE_UL_DF_21_N_FZ_TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises;;Brut;DIREN.M.FR.DE.UL.DF.21.N.FZ.TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises - Construction - Brut
DIREN_M_FR_DE_UL_DF_21_N_G_TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises;;Brut;DIREN.M.FR.DE.UL.DF.21.N.G.TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises - Commerce et réparation automobile - Brut
DIREN_M_FR_DE_UL_DF_21_N_H_TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises;;Brut;DIREN.M.FR.DE.UL.DF.21.N.H.TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises - Transports et entreposage - Brut
DIREN_M_FR_DE_UL_DF_21_N_I_TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises;;Brut;DIREN.M.FR.DE.UL.DF.21.N.I.TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises - Hébergement et restauration - Brut
DIREN_M_FR_DE_UL_DF_21_N_JZ_TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises;;Brut;DIREN.M.FR.DE.UL.DF.21.N.JZ.TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises - Information et communication - Brut
DIREN_M_FR_DE_UL_DF_21_N_KZ_TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises;;Brut;DIREN.M.FR.DE.UL.DF.21.N.KZ.TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises - Activités financières et d'assurance - Brut
DIREN_M_FR_DE_UL_DF_21_N_LZ_TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises;;Brut;DIREN.M.FR.DE.UL.DF.21.N.LZ.TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises - Activités immobilières - Brut
DIREN_M_FR_DE_UL_DF_21_N_MN_TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises;;Brut;DIREN.M.FR.DE.UL.DF.21.N.MN.TT;France -Taux de croissance en glissement 2 ans du nombre de défaillances d'entreprises - Soutien aux entreprises - Brut
